epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,25.2271,0.68677,1.0908,0.86248,1,0.94573,0.995,0.82079,0.58443,1.97968,0.81715,0.0012476,0.0012476,0.0012476
116,25.4106,0.67453,1.00752,0.84841,0.96544,1,0.995,0.84559,0.639,1.52581,0.82449,0.001241,0.001241,0.001241
117,25.5851,0.69147,0.86407,0.91057,0.96544,1,0.995,0.84559,0.639,1.52581,0.82449,0.0012344,0.0012344,0.0012344
118,25.7649,0.63913,0.97774,0.85337,0.96544,1,0.995,0.84559,0.639,1.52581,0.82449,0.0012278,0.0012278,0.0012278
119,25.9377,0.66151,0.89579,0.89736,0.96544,1,0.995,0.84559,0.639,1.52581,0.82449,0.0012212,0.0012212,0.0012212
120,26.1175,0.5538,1.00297,0.89104,0.96033,1,0.995,0.8955,0.71552,1.33389,0.8404,0.0012146,0.0012146,0.0012146
121,26.297,0.604,0.77562,0.8666,0.96033,1,0.995,0.8955,0.71552,1.33389,0.8404,0.001208,0.001208,0.001208
122,26.554,0.60805,0.88512,0.87305,0.96033,1,0.995,0.8955,0.71552,1.33389,0.8404,0.0012014,0.0012014,0.0012014
123,26.7348,0.73009,0.90228,0.84649,0.96033,1,0.995,0.8955,0.71552,1.33389,0.8404,0.0011948,0.0011948,0.0011948
124,26.9282,0.78068,0.90706,0.96977,0.97191,1,0.995,0.8955,0.64875,1.22951,0.83579,0.0011882,0.0011882,0.0011882
125,27.1109,0.83819,1.00943,0.91346,0.97191,1,0.995,0.8955,0.64875,1.22951,0.83579,0.0011816,0.0011816,0.0011816
126,27.2911,0.66891,0.91808,0.87838,0.97191,1,0.995,0.8955,0.64875,1.22951,0.83579,0.001175,0.001175,0.001175
127,27.4748,0.84498,1.07693,0.938,0.97191,1,0.995,0.8955,0.64875,1.22951,0.83579,0.0011684,0.0011684,0.0011684
128,27.6626,0.60709,0.92797,0.83855,0.97552,1,0.995,0.92029,0.562,1.18262,0.82676,0.0011618,0.0011618,0.0011618
129,27.845,0.54418,0.79772,0.84144,0.97552,1,0.995,0.92029,0.562,1.18262,0.82676,0.0011552,0.0011552,0.0011552
130,28.0248,0.79792,0.88558,0.90188,0.97552,1,0.995,0.92029,0.562,1.18262,0.82676,0.0011486,0.0011486,0.0011486
131,28.202,0.58705,0.8491,0.85741,0.97552,1,0.995,0.92029,0.562,1.18262,0.82676,0.001142,0.001142,0.001142
132,28.3928,0.57858,0.89175,0.83913,0.9711,1,0.995,0.8955,0.57465,1.16759,0.82391,0.0011354,0.0011354,0.0011354
133,28.6415,0.61358,0.86529,0.89924,0.9711,1,0.995,0.8955,0.57465,1.16759,0.82391,0.0011288,0.0011288,0.0011288
134,28.8136,0.65963,0.93376,0.90321,0.9711,1,0.995,0.8955,0.57465,1.16759,0.82391,0.0011222,0.0011222,0.0011222
135,28.9908,0.59984,0.86627,0.89219,0.9711,1,0.995,0.8955,0.57465,1.16759,0.82391,0.0011156,0.0011156,0.0011156
136,29.1757,0.56449,1.06044,0.86713,0.96687,1,0.995,0.8955,0.58931,1.26335,0.81975,0.001109,0.001109,0.001109
137,29.3546,0.56435,0.98834,0.82119,0.96687,1,0.995,0.8955,0.58931,1.26335,0.81975,0.0011024,0.0011024,0.0011024
138,29.5286,0.51587,0.86188,0.81314,0.96687,1,0.995,0.8955,0.58931,1.26335,0.81975,0.0010958,0.0010958,0.0010958
139,29.7054,0.57291,0.85759,0.79798,0.96687,1,0.995,0.8955,0.58931,1.26335,0.81975,0.0010892,0.0010892,0.0010892
140,29.8945,0.68316,1.12356,0.92009,0.96257,1,0.995,0.84554,0.58504,1.18687,0.81926,0.0010826,0.0010826,0.0010826
141,30.0753,0.62465,0.92424,0.92435,0.96257,1,0.995,0.84554,0.58504,1.18687,0.81926,0.001076,0.001076,0.001076
142,30.2538,0.64228,0.95604,0.83314,0.96257,1,0.995,0.84554,0.58504,1.18687,0.81926,0.0010694,0.0010694,0.0010694
143,30.4334,0.67185,1.11042,0.93278,0.96257,1,0.995,0.84554,0.58504,1.18687,0.81926,0.0010628,0.0010628,0.0010628
144,30.6945,0.6644,0.95778,0.90795,0.96911,1,0.995,0.8955,0.57689,1.00239,0.80587,0.0010562,0.0010562,0.0010562
145,30.8717,0.6339,0.82615,0.86585,0.96911,1,0.995,0.8955,0.57689,1.00239,0.80587,0.0010496,0.0010496,0.0010496
146,31.0526,0.62971,1.01714,0.8034,0.96911,1,0.995,0.8955,0.57689,1.00239,0.80587,0.001043,0.001043,0.001043
147,31.231,0.64659,0.87334,0.906,0.96911,1,0.995,0.8955,0.57689,1.00239,0.80587,0.0010364,0.0010364,0.0010364
148,31.4162,0.62537,0.81175,0.8636,0.97397,1,0.995,0.8955,0.60977,0.80112,0.81205,0.0010298,0.0010298,0.0010298
149,31.5905,0.53085,0.89363,0.88221,0.97397,1,0.995,0.8955,0.60977,0.80112,0.81205,0.0010232,0.0010232,0.0010232
150,31.7683,0.56002,0.87492,0.92493,0.97397,1,0.995,0.8955,0.60977,0.80112,0.81205,0.0010166,0.0010166,0.0010166
151,31.9475,0.69994,0.84591,0.85055,0.97397,1,0.995,0.8955,0.60977,0.80112,0.81205,0.00101,0.00101,0.00101
152,32.1321,0.51236,0.72917,0.81604,0.97873,1,0.995,0.82079,0.63418,0.7372,0.82865,0.0010034,0.0010034,0.0010034
153,32.3147,0.57046,0.73547,0.81428,0.97873,1,0.995,0.82079,0.63418,0.7372,0.82865,0.0009968,0.0009968,0.0009968
154,32.5773,0.63192,0.88337,0.91221,0.97873,1,0.995,0.82079,0.63418,0.7372,0.82865,0.0009902,0.0009902,0.0009902
155,32.7488,0.56788,0.91658,0.84382,0.97873,1,0.995,0.82079,0.63418,0.7372,0.82865,0.0009836,0.0009836,0.0009836
156,32.953,0.57459,0.88484,0.76606,0.9805,1,0.995,0.82079,0.68372,0.75728,0.82984,0.000977,0.000977,0.000977
157,33.1367,0.42406,0.83412,0.83769,0.9805,1,0.995,0.82079,0.68372,0.75728,0.82984,0.0009704,0.0009704,0.0009704
158,33.3199,0.64461,0.8115,0.82987,0.9805,1,0.995,0.82079,0.68372,0.75728,0.82984,0.0009638,0.0009638,0.0009638
159,33.5035,0.54261,0.81376,0.85886,0.9805,1,0.995,0.82079,0.68372,0.75728,0.82984,0.0009572,0.0009572,0.0009572
160,33.6909,0.56763,0.75777,0.86532,0.98036,1,0.995,0.74609,0.65662,0.79667,0.82729,0.0009506,0.0009506,0.0009506
161,33.873,0.57578,0.77015,0.89619,0.98036,1,0.995,0.74609,0.65662,0.79667,0.82729,0.000944,0.000944,0.000944
162,34.0576,0.56492,0.87706,0.89628,0.98036,1,0.995,0.74609,0.65662,0.79667,0.82729,0.0009374,0.0009374,0.0009374
163,34.2377,0.55205,0.85447,0.82278,0.98036,1,0.995,0.74609,0.65662,0.79667,0.82729,0.0009308,0.0009308,0.0009308
164,34.4268,0.55252,0.80428,0.86698,0.97844,1,0.995,0.8955,0.65917,0.81515,0.83073,0.0009242,0.0009242,0.0009242
165,34.6945,0.67114,1.04602,0.9028,0.97844,1,0.995,0.8955,0.65917,0.81515,0.83073,0.0009176,0.0009176,0.0009176
166,34.8732,0.50526,0.86837,0.87264,0.97844,1,0.995,0.8955,0.65917,0.81515,0.83073,0.000911,0.000911,0.000911
167,35.0588,0.53891,0.81451,0.84411,0.97844,1,0.995,0.8955,0.65917,0.81515,0.83073,0.0009044,0.0009044,0.0009044
168,35.2463,0.62104,0.88219,0.83175,0.98065,1,0.995,0.8955,0.67914,0.76086,0.83261,0.0008978,0.0008978,0.0008978
169,35.4327,0.54859,0.77448,0.87641,0.98065,1,0.995,0.8955,0.67914,0.76086,0.83261,0.0008912,0.0008912,0.0008912
170,35.6156,0.51984,0.7778,0.80457,0.98065,1,0.995,0.8955,0.67914,0.76086,0.83261,0.0008846,0.0008846,0.0008846
171,35.7948,0.63269,0.76556,0.85144,0.98065,1,0.995,0.8955,0.67914,0.76086,0.83261,0.000878,0.000878,0.000878
172,35.9862,0.65018,0.81893,0.82809,0.98189,1,0.995,0.8955,0.70731,0.70046,0.84104,0.0008714,0.0008714,0.0008714
173,36.1657,0.48253,0.83933,0.83846,0.98189,1,0.995,0.8955,0.70731,0.70046,0.84104,0.0008648,0.0008648,0.0008648
174,36.3485,0.58032,0.74254,0.84809,0.98189,1,0.995,0.8955,0.70731,0.70046,0.84104,0.0008582,0.0008582,0.0008582
175,36.5333,0.66231,0.77584,0.8645,0.98189,1,0.995,0.8955,0.70731,0.70046,0.84104,0.0008516,0.0008516,0.0008516
176,36.8132,0.62148,0.92085,0.86313,0.98281,1,0.995,0.84559,0.74574,0.65935,0.84242,0.000845,0.000845,0.000845
177,36.9967,0.64597,0.88457,0.95675,0.98281,1,0.995,0.84559,0.74574,0.65935,0.84242,0.0008384,0.0008384,0.0008384
178,37.1815,0.52992,0.69356,0.84186,0.98281,1,0.995,0.84559,0.74574,0.65935,0.84242,0.0008318,0.0008318,0.0008318
179,37.3568,0.57954,0.75897,0.85881,0.98281,1,0.995,0.84559,0.74574,0.65935,0.84242,0.0008252,0.0008252,0.0008252
180,37.5458,0.54264,0.83005,0.83926,0.98301,1,0.995,0.82079,0.76025,0.67732,0.84498,0.0008186,0.0008186,0.0008186
181,37.7255,0.52633,0.75474,0.80296,0.98301,1,0.995,0.82079,0.76025,0.67732,0.84498,0.000812,0.000812,0.000812
182,37.9101,0.48167,0.67019,0.78759,0.98301,1,0.995,0.82079,0.76025,0.67732,0.84498,0.0008054,0.0008054,0.0008054
183,38.0904,0.61618,0.79759,0.89221,0.98301,1,0.995,0.82079,0.76025,0.67732,0.84498,0.0007988,0.0007988,0.0007988
184,38.2815,0.57943,0.70033,0.82162,0.98308,1,0.995,0.82079,0.74962,0.6144,0.84096,0.0007922,0.0007922,0.0007922
185,38.4646,0.55134,0.68802,0.83761,0.98308,1,0.995,0.82079,0.74962,0.6144,0.84096,0.0007856,0.0007856,0.0007856
